name,category,rating,review,link,add,hour,tel
광고남도애찬,한식,4.6,38,https://place.map.kakao.com/85570955,서울 강남구 역삼로3길 8,월~토 10:00 ~ 23:00,02-538-1588
광고백억하누 강남본점,한식,4.0,158,https://place.map.kakao.com/26431943,서울 강남구 테헤란로5길 29,매일 11:30 ~ 22:30,02-568-8592
광고램스칸,"육류,고기",4.9,15,https://place.map.kakao.com/27270313,서울 서초구 서초대로78길 36,매일 11:30 ~ 23:00,02-585-7870
땀땀,베트남음식,3.4,"2,240",https://place.map.kakao.com/1238400864,서울 강남구 역삼동 817-31,매일 11:00 ~ 22:00,02-554-8892
어글리스토브 강남역점,양식,3.4,474,https://place.map.kakao.com/25891059,서울 강남구 강남대로98길 20 1층,매일 10:30 ~ 22:30,02-558-8459
낙원타코 강남역점,"멕시칸,브라질",3.4,416,https://place.map.kakao.com/1752978029,서울 서초구 서초대로73길 9 타임빌딩 2층,매일 11:30 ~ 23:00,02-595-1540
보슬보슬,분식,3.3,496,https://place.map.kakao.com/1863534623,서울 강남구 테헤란로8길 22,영업시간 매일 08:00 ~ 21:00,02-6014-1245
갓덴스시 강남점,"초밥,롤",3.8,226,https://place.map.kakao.com/13575898,서울 강남구 테헤란로 109 강남제일빌딩 1층,매일 11:00 ~ 21:30,02-2051-1477
이춘복참치&스시 강남점,참치회,2.8,92,https://place.map.kakao.com/109169564,"서울 서초구 강남대로61길 13 1,2층",월~토 11:00 ~ 01:00 · 브레이크타임1 월~토 14:30 ~ 16:30,02-591-4558
블루보틀 역삼 카페,카페,3.2,181,https://place.map.kakao.com/495658881,서울 강남구 테헤란로 129 강남N타워 1층,영업시간 월~금 08:00 ~ 20:00,02-6212-6998
장인닭갈비 강남점,닭요리,3.2,512,https://place.map.kakao.com/95713992,서울 강남구 테헤란로1길 19 지하1층,매일 11:00 ~ 23:00,02-3452-3441
프리모바치오바치 강남점,이탈리안,4.1,205,https://place.map.kakao.com/25036974,서울 강남구 강남대로 416 2층,매일 11:00 ~ 23:00,02-501-0885
이자카야나무 강남3호점,일본식주점,3.5,53,https://place.map.kakao.com/27564595,서울 서초구 서초대로75길 23,매일 16:30 ~ 05:00,02-535-0348
창고43 강남점,"육류,고기",3.2,117,https://place.map.kakao.com/1503746075,서울 강남구 강남대로 362 대륭강남타워 지하1층,매일 11:30 ~ 22:00 · 브레이크타임 매일 14:00 ~ 17:30,02-508-0043
일일향 3호점,중화요리,2.9,89,https://place.map.kakao.com/27504403,서울 서초구 서초대로78길 22 3층,매일 11:20 ~ 21:30,02-555-8133
마녀주방 강남점,이탈리안,3.7,303,https://place.map.kakao.com/26330643,"서울 강남구 강남대로94길 9 크리스탈빌딩 지하 1, 2층",화~일 12:00 ~ 22:30 · 브레이크타임 월~금 15:00 ~ 17:00,
랑데자뷰 강남점,카페,3.3,571,https://place.map.kakao.com/714214219,서울 강남구 봉은사로6길 39 1층,매일 11:00 ~ 23:00,02-552-0204
바비레드 강남본점,양식,4.5,832,https://place.map.kakao.com/18076495,서울 강남구 봉은사로6길 39 지하1층,매일 11:30 ~ 22:00,02-3452-1515
광고남도애찬,한식,4.6,38,https://place.map.kakao.com/85570955,서울 강남구 역삼로3길 8,월~토 10:00 ~ 23:00,02-538-1588
광고백억하누 강남본점,한식,4.0,158,https://place.map.kakao.com/26431943,서울 강남구 테헤란로5길 29,매일 11:30 ~ 22:30,02-568-8592
광고램스칸,"육류,고기",4.9,15,https://place.map.kakao.com/27270313,서울 서초구 서초대로78길 36,매일 11:30 ~ 23:00,02-585-7870
땀땀,베트남음식,3.4,"2,240",https://place.map.kakao.com/1238400864,서울 강남구 역삼동 817-31,매일 11:00 ~ 22:00,02-554-8892
어글리스토브 강남역점,양식,3.4,474,https://place.map.kakao.com/25891059,서울 강남구 강남대로98길 20 1층,매일 10:30 ~ 22:30,02-558-8459
낙원타코 강남역점,"멕시칸,브라질",3.4,416,https://place.map.kakao.com/1752978029,서울 서초구 서초대로73길 9 타임빌딩 2층,매일 11:30 ~ 23:00,02-595-1540
보슬보슬,분식,3.3,496,https://place.map.kakao.com/1863534623,서울 강남구 테헤란로8길 22,영업시간 매일 08:00 ~ 21:00,02-6014-1245
갓덴스시 강남점,"초밥,롤",3.8,226,https://place.map.kakao.com/13575898,서울 강남구 테헤란로 109 강남제일빌딩 1층,매일 11:00 ~ 21:30,02-2051-1477
이춘복참치&스시 강남점,참치회,2.8,92,https://place.map.kakao.com/109169564,"서울 서초구 강남대로61길 13 1,2층",월~토 11:00 ~ 01:00 · 브레이크타임1 월~토 14:30 ~ 16:30,02-591-4558
블루보틀 역삼 카페,카페,3.2,181,https://place.map.kakao.com/495658881,서울 강남구 테헤란로 129 강남N타워 1층,영업시간 월~금 08:00 ~ 20:00,02-6212-6998
장인닭갈비 강남점,닭요리,3.2,512,https://place.map.kakao.com/95713992,서울 강남구 테헤란로1길 19 지하1층,매일 11:00 ~ 23:00,02-3452-3441
프리모바치오바치 강남점,이탈리안,4.1,205,https://place.map.kakao.com/25036974,서울 강남구 강남대로 416 2층,매일 11:00 ~ 23:00,02-501-0885
이자카야나무 강남3호점,일본식주점,3.5,53,https://place.map.kakao.com/27564595,서울 서초구 서초대로75길 23,매일 16:30 ~ 05:00,02-535-0348
창고43 강남점,"육류,고기",3.2,117,https://place.map.kakao.com/1503746075,서울 강남구 강남대로 362 대륭강남타워 지하1층,매일 11:30 ~ 22:00 · 브레이크타임 매일 14:00 ~ 17:30,02-508-0043
일일향 3호점,중화요리,2.9,89,https://place.map.kakao.com/27504403,서울 서초구 서초대로78길 22 3층,매일 11:20 ~ 21:30,02-555-8133
마녀주방 강남점,이탈리안,3.7,303,https://place.map.kakao.com/26330643,"서울 강남구 강남대로94길 9 크리스탈빌딩 지하 1, 2층",화~일 12:00 ~ 22:30 · 브레이크타임 월~금 15:00 ~ 17:00,
랑데자뷰 강남점,카페,3.3,571,https://place.map.kakao.com/714214219,서울 강남구 봉은사로6길 39 1층,매일 11:00 ~ 23:00,02-552-0204
바비레드 강남본점,양식,4.5,832,https://place.map.kakao.com/18076495,서울 강남구 봉은사로6길 39 지하1층,매일 11:30 ~ 22:00,02-3452-1515
썸띵어바웃커피,디저트카페,3.8,552,https://place.map.kakao.com/2005375589,서울 강남구 강남대로102길 30 1~3층,매일 12:00 ~ 23:00,
농민백암왕순대,순대,4.6,171,https://place.map.kakao.com/16421356,서울 강남구 역삼로3길 20-4,영업시간 월~금 11:00 ~ 21:00,02-501-2772
하이디라오 강남점,샤브샤브,4.0,223,https://place.map.kakao.com/1372079546,서울 서초구 서초대로77길 54 서초w타워 2층,매일 10:00 ~ 22:00,02-533-8260
떡도리탕,닭요리,3.3,258,https://place.map.kakao.com/13573220,서울 강남구 테헤란로1길 28-4 지하1층,월~토 12:00 ~ 24:00,
청류벽,국수,3.7,224,https://place.map.kakao.com/770095922,서울 서초구 서초대로74길 29 1층 105호,매일 11:30 ~ 22:00,0507-1358-1191
을밀대 강남점,냉면,3.3,147,https://place.map.kakao.com/12418029,서울 강남구 테헤란로4길 46 지하1층,매일 11:00 ~ 22:00,02-552-1922
로리스더프라임립,"스테이크,립",3.7,166,https://place.map.kakao.com/22211960,서울 서초구 서초대로 411 GT타워 3층,매일 11:30 ~ 22:00 · 브레이크타임 매일 15:00 ~ 17:30,02-590-2800
