name,category,rating,review,link,add,hour,tel
광고포몬스 건대점,동남아음식,4.4,39,https://place.map.kakao.com/17341936,서울 광진구 아차산로 208 상록빌딩 1층,,02-461-1721
송화산시도삭면 2호점,중화요리,4.0,212,https://place.map.kakao.com/610799971,서울 광진구 아차산로30길 33,,02-468-7826
로니로티 건대점,이탈리안,3.7,487,https://place.map.kakao.com/21929635,서울 광진구 아차산로 225 3층,,02-498-7999
송화양꼬치,양꼬치,3.9,132,https://place.map.kakao.com/14822911,서울 광진구 동일로18길 70,,02-462-7826
성수명당,"호프,요리주점",4.2,294,https://place.map.kakao.com/629672914,서울 성동구 연무장19길 10 1층,,070-8833-3227
아르무아,카페,3.7,173,https://place.map.kakao.com/61909173,서울 광진구 동일로22길 117-27 1~2층,,02-463-9981
도우터,카페,4.2,246,https://place.map.kakao.com/1926044933,서울 광진구 아차산로31길 40,,02-464-0559
매화반점 1호점,중화요리,3.1,94,https://place.map.kakao.com/26575482,서울 광진구 동일로18길 105,,02-498-1939
하이디라오코리아 건대점,중화요리,4.5,125,https://place.map.kakao.com/1026281815,서울 광진구 능동로 110 2층,,02-456-5683
건대사시미,회,2.9,293,https://place.map.kakao.com/15849177,서울 광진구 아차산로33길 23,,02-465-3222
아찌떡볶이,분식,3.1,134,https://place.map.kakao.com/19238595,서울 광진구 아차산로29길 53,,02-462-8340
고기대통령 본점,고기뷔페,3.9,49,https://place.map.kakao.com/1749700949,서울 광진구 능동로 91 2층,,02-462-9080
명봉반점,양꼬치,3.6,384,https://place.map.kakao.com/12063452,서울 광진구 뚝섬로31길 59,,02-498-8808
감성타코 건대점,"멕시칸,브라질",2.8,181,https://place.map.kakao.com/1104977189,서울 광진구 능동로13길 39 2층,,02-462-8883
더이퀼리브리엄커피,커피전문점,4.4,64,https://place.map.kakao.com/420350631,서울 광진구 아차산로30길 7 3층,,070-7537-3744
경양카츠 건대점,"돈까스,우동",3.9,211,https://place.map.kakao.com/1497842587,서울 광진구 동일로20길 60 연일빌딩 1층,,02-6465-2777
마초쉐프 건대점,이탈리안,3.0,194,https://place.map.kakao.com/1359276887,서울 광진구 능동로 125 2층,,02-497-8886
화기애애 건대점,"육류,고기",4.4,93,https://place.map.kakao.com/22651193,서울 광진구 아차산로31길 16,,02-461-7585
라화쿵부 건대점,중화요리,2.1,405,https://place.map.kakao.com/23641815,서울 광진구 아차산로30길 42,,02-462-7778
랑데자뷰 건대점,카페,2.8,107,https://place.map.kakao.com/88469138,서울 광진구 아차산로31길 3,,070-7718-3088
매운향솥 본점,중화요리,3.8,354,https://place.map.kakao.com/19983662,서울 광진구 동일로18길 61,,02-6461-0016
돕,감자탕,2.9,105,https://place.map.kakao.com/7834861,서울 광진구 아차산로31길 9,,02-499-2838
천지샤브샤브 2호점,샤브샤브,4.3,92,https://place.map.kakao.com/89984020,서울 광진구 아차산로29길 22 2층,,02-466-6334
송림식당,기사식당,3.4,201,https://place.map.kakao.com/7963415,서울 광진구 자양번영로 79,,02-457-5473
계탄집 본점,닭요리,4.3,99,https://place.map.kakao.com/26941179,서울 광진구 능동로 31 1층,,02-464-6804
인덱스숍,북카페,4.5,170,https://place.map.kakao.com/501741750,서울 광진구 아차산로 200 커먼그라운드 3층,,02-2122-1259
롤링파스타 건대지점,이탈리안,3.4,135,https://place.map.kakao.com/1142385656,서울 광진구 능동로 127 2층,,02-3443-3864
마우스레빗,카페,3.8,33,https://place.map.kakao.com/18263855,서울 광진구 능동로11길 10,,02-462-4015
최가커피,커피전문점,4.2,172,https://place.map.kakao.com/11377577,서울 광진구 능동로13길 23,,02-465-7998
민벅 건대점,양식,3.8,310,https://place.map.kakao.com/24812798,서울 광진구 능동로13길 39 한아름쇼핑센터 1층,,02-469-4455
호야초밥참치 본점,"초밥,롤",2.4,111,https://place.map.kakao.com/11989881,서울 광진구 능동로13길 36,,02-461-3739
라구뜨,뷔페,4.0,99,https://place.map.kakao.com/12765080,서울 광진구 능동로 90 더클래식500 B동 3층,,02-2218-5770
조선주막 건대점,"호프,요리주점",3.8,20,https://place.map.kakao.com/25068327,서울 광진구 아차산로33길 28-4,,02-462-1801
고흥순대국 건국대본점,순대,3.9,23,https://place.map.kakao.com/17101239,서울 광진구 아차산로34길 26,,02-497-7876
