name,category,rating,review,link,add,hour,tel
광고정원레스토랑 어반가든,"스테이크,립",3.5,278,https://place.map.kakao.com/15982071,서울 중구 정동길 12-15 1층,,02-777-2254
광고화로담,일식집,4.0,25,https://place.map.kakao.com/948442632,서울 종로구 새문안로5길 9,,02-720-8007
청진옥 본점,해장국,2.7,215,https://place.map.kakao.com/27540102,서울 종로구 종로3길 32,,02-735-1690
광화문미진 본점,국수,3.2,449,https://place.map.kakao.com/21326655,서울 종로구 종로 19 르메이에르 종로타운 1층,,02-732-1954
포비 광화문점,카페,4.1,417,https://place.map.kakao.com/27187492,서울 종로구 종로3길 17 광화문D타워 1층 21호,,02-2251-8125
디라이프스타일 키친 광화문점,양식,3.6,393,https://place.map.kakao.com/444516464,서울 중구 세종대로 136 파이낸스센터 지하1층 101A호,,02-6273-0100
진진수라 광화문점,한정식,3.8,199,https://place.map.kakao.com/967729291,서울 종로구 종로5길 7 타워8빌딩 지하 2층 201-206호,,02-6226-8191
라그릴리아 광화문점,이탈리안,3.2,100,https://place.map.kakao.com/18608004,서울 종로구 청계천로 11 청계한국빌딩 2층,,02-571-5732
이문설농탕,설렁탕,3.0,185,https://place.map.kakao.com/24725293,서울 종로구 우정국로 38-13,,02-733-6526
광화문국밥 본점,국밥,3.8,243,https://place.map.kakao.com/2067124772,서울 중구 세종대로21길 53 1층,,02-738-5688
테라로사 광화문점,커피전문점,3.6,104,https://place.map.kakao.com/24725284,서울 종로구 종로1길 50,,
부민옥,한식,3.7,84,https://place.map.kakao.com/1346301870,서울 중구 다동길 24-12,,02-777-4323
서린낙지,"해물,생선",2.8,128,https://place.map.kakao.com/7937472,서울 종로구 종로 19 르메이에르 종로타운 2층,,02-735-0670
일품당 광화문점,샤브샤브,3.4,47,https://place.map.kakao.com/8051186,서울 종로구 세종대로23길 25,,02-733-4949
닥터로빈 광화문점,양식,3.9,170,https://place.map.kakao.com/839834408,서울 종로구 종로3길 17 D타워 5층 3호,,02-2251-8510
백부장집닭한마리 본관,닭요리,4.1,134,https://place.map.kakao.com/8381402,서울 종로구 삼봉로 100-1,,02-732-2565
광화문한옥집,한식,3.5,102,https://place.map.kakao.com/152172304,서울 종로구 새문안로5가길 7 세종클럽 지하 1층,,02-731-2500
박순례손말이고기 산정집 광화문점,"육류,고기",2.6,126,https://place.map.kakao.com/27386457,서울 종로구 새문안로5가길 3-10 선덕빌딩 2층,,02-310-9636
무교동북어국집,"해물,생선",4.3,137,https://place.map.kakao.com/11064200,서울 중구 을지로1길 38,,02-777-3891
남포면옥,냉면,2.7,234,https://place.map.kakao.com/21232315,서울 중구 을지로3길 24,,02-777-3131
암소서울,한식,3.6,425,https://place.map.kakao.com/2034797687,서울 종로구 새문안로 76 지하1층,,02-6744-0123
마이클 바이 해비치,이탈리안,3.5,144,https://place.map.kakao.com/1791766556,서울 종로구 우정국로 26 센트로폴리스 B타워 2층,,02-722-4300
마르셀 광화문점,이탈리안,3.8,126,https://place.map.kakao.com/981723388,서울 중구 청계천로 8 1층,,02-318-5978
포비브라이트 광화문점,카페,4.1,232,https://place.map.kakao.com/281666038,서울 종로구 새문안로 76,,02-6744-0120
차이797 광화문점,중식,3.4,18,https://place.map.kakao.com/25652027,서울 종로구 새문안로5길 31 센터포인트 광화문빌딩 2층,,02-6031-6797
적당,카페,3.8,483,https://place.map.kakao.com/1345866783,서울 중구 을지로 29 1층,,0507-1312-8928
교대이층집 광화문점,삼겹살,4.0,60,https://place.map.kakao.com/27506479,서울 종로구 삼봉로 95 대성스카이렉스오피스텔 102동 1층,,02-723-6692
화목순대국 광화문1호점,순대,3.7,46,https://place.map.kakao.com/15431872,서울 종로구 새문안로5길 11,,02-723-8313
감성타코 광화문점,"멕시칸,브라질",3.1,98,https://place.map.kakao.com/1064891133,서울 종로구 새문안로3길 23 경희궁의아침4단지 지하2층 B201호,,02-738-8887
용금옥,추어,3.7,59,https://place.map.kakao.com/10703052,서울 중구 다동길 24-2,,02-777-1689
루뽀,와인바,4.1,160,https://place.map.kakao.com/886908526,서울 종로구 새문안로5길 31 센터포인트빌딩 2층,,02-6262-0880
광화문뚝감,감자탕,4.1,129,https://place.map.kakao.com/18363906,서울 종로구 새문안로3길 21,,02-722-5894
세광양대창 광화문점,"곱창,막창",4.1,50,https://place.map.kakao.com/1220191252,서울 종로구 삼봉로 68 2층,월~금 11:00 ~ 22:30,02-722-9231
후니도니,"돈까스,우동",4.4,189,https://place.map.kakao.com/27271374,서울 종로구 종로 19 르메이르종로타운 지하1층,영업시간 월~금 11:00 ~ 20:30 · 브레이크타임 월~금 14:30 ~ 15:30,02-722-5402
후라토식당 본점,일식,4.0,111,https://place.map.kakao.com/894615357,서울 종로구 새문안로5길 19 로얄빌딩 아케이드 지하1층 63호,매일 11:30 ~ 22:00 · 브레이크타임 매일 15:00 ~ 17:00,02-730-7090
종로도담,한식,4.0,260,https://place.map.kakao.com/439177229,서울 종로구 삼봉로 78,월~금 11:00 ~ 23:00 · 브레이크타임 매일 15:00 ~ 17:00,02-733-9850
청키면가 무교점,중식,3.6,98,https://place.map.kakao.com/23966819,서울 중구 다동길 33 효광빌딩 1층,매일 11:30 ~ 22:00 · 브레이크타임 매일 15:00 ~ 17:00,02-538-3913
바스버거 광화문점,햄버거,3.8,131,https://place.map.kakao.com/26608740,서울 중구 다동길 5 광일빌딩 지하 1층,"영업시간 월~목 11:00 ~ 20:00 · 브레이크타임 월,화,수,목,토,일 14:30 ~ 16:00",02-722-6653
펠트커피 광화문점,카페,3.5,196,https://place.map.kakao.com/977211586,서울 종로구 종로3길 17 b2층,영업시간 월~금 07:00 ~ 20:00,02-2251-8010
카페이마,카페,3.3,113,https://place.map.kakao.com/8045991,서울 종로구 세종대로 152 일민미술관 1층,영업시간 매일 10:00 ~ 19:00,02-2020-2088
황소막창,"곱창,막창",4.5,71,https://place.map.kakao.com/15769405,서울 중구 청계천로 30,,02-319-9055
봉우리 종각식객촌점,한식,3.1,80,https://place.map.kakao.com/25770000,서울 종로구 종로 33 GS그랑서울타워1 A동 2층,매일 11:30 ~ 22:00 · 브레이크타임 매일 15:00 ~ 17:30,02-2158-7901
택이네조개전골 광화문점,조개,4.2,89,https://place.map.kakao.com/380922242,서울 종로구 새문안로9길 29,매일 11:00 ~ 23:00 · 브레이크타임 매일 15:00 ~ 16:30,02-722-6666
라칸티나,이탈리안,3.4,97,https://place.map.kakao.com/10372376,서울 중구 을지로 19 삼성빌딩 지하1층,월~토 11:30 ~ 22:00 · 브레이크타임 월~토 15:00 ~ 17:00,02-777-2580
모도우 광화문점,한식,3.6,79,https://place.map.kakao.com/2138512000,서울 종로구 율곡로 6 트윈트리빌딩 A동 지하1층 101호,매일 11:00 ~ 23:00 · 브레이크타임 월~금 15:00 ~ 17:00,02-6016-6916
이북만두,한식,2.9,91,https://place.map.kakao.com/7855268,서울 중구 무교로 17-13,영업시간 월~토 11:00 ~ 21:00,02-776-7361
충무집,"해물,생선",3.3,70,https://place.map.kakao.com/781644913,서울 중구 을지로3길 30-14 1층,,02-776-4088
참치공방 종각점,참치회,2.9,83,https://place.map.kakao.com/10311622,서울 종로구 종로9길 8 1층,매일 11:30 ~ 24:00,02-732-8014
공평동꼼장어 본점,장어,3.4,136,https://place.map.kakao.com/15751933,서울 종로구 우정국로 29,월~토 16:00 ~ 01:00,02-738-1769
광화문몽로,이탈리안,2.9,81,https://place.map.kakao.com/1488776818,서울 중구 세종대로21길 40,월~금 11:30 ~ 01:00 · 브레이크타임 월~금 14:30 ~ 17:30,02-722-8767
스시소라 광화문점,일식,3.5,181,https://place.map.kakao.com/1315083198,서울 종로구 종로 19 B동 지하1층,월~금 11:30 ~ 21:50 · 브레이크타임 월~금 14:20 ~ 18:00,02-733-8400
뽐모도로,이탈리안,3.4,97,https://place.map.kakao.com/18306071,서울 종로구 새문안로9길 19-1 일선빌딩 1층,영업시간 월~토 11:20 ~ 21:00 · 브레이크타임 월~토 15:00 ~ 17:00,02-722-4675
오목집 광화문점,"족발,보쌈",3.6,107,https://place.map.kakao.com/1693365113,"서울 종로구 삼봉로 98 1,2층",월~금 11:00 ~ 23:00,02-733-2019
