name,category,rating,review,link,add,hour,tel
신촌형제갈비,갈비,2.5,82,https://place.map.kakao.com/15937430,서울 서대문구 명물1길 2,,02-365-0001
연남서식당,갈비,3.5,121,https://place.map.kakao.com/10658514,서울 마포구 백범로2길 32,,02-716-2520
부엉이돈가스 신촌점,"돈까스,우동",3.9,50,https://place.map.kakao.com/26615188,서울 서대문구 연세로4길 62,,02-312-1216
더파이홀,커피전문점,3.8,212,https://place.map.kakao.com/1011256721,서울 서대문구 연세로5나길 20 1층,,02-334-1181
또보겠지떡볶이집 신촌히어로점,떡볶이,4.2,196,https://place.map.kakao.com/27243051,서울 서대문구 연세로4길 19 2층,,
정육면체,퓨전요리,3.6,273,https://place.map.kakao.com/1705674698,서울 서대문구 연세로5다길 22-8 1층 101호,,070-4179-3819
라구식당,이탈리안,3.8,299,https://place.map.kakao.com/26976526,서울 서대문구 연세로 42-24,,02-364-2224
복성각,중화요리,3.2,37,https://place.map.kakao.com/7892863,서울 서대문구 명물1길 24,,02-364-1522
신촌황소곱창 신촌본점,"곱창,막창",2.1,150,https://place.map.kakao.com/15847929,서울 서대문구 연세로9길 31 1층,,02-337-2640
이빠네마그릴,"멕시칸,브라질",4.2,94,https://place.map.kakao.com/27560694,서울 서대문구 연세로4길 6 2층,,02-365-6118
고르드,디저트카페,2.6,167,https://place.map.kakao.com/26409687,서울 서대문구 연세로 32 1~4층,,02-365-9566
소신이쏘,갈비,3.9,187,https://place.map.kakao.com/26522526,서울 서대문구 연세로5가길 19 1층,,02-324-3245
클로리스 신촌점,카페,4.2,93,https://place.map.kakao.com/8122805,서울 서대문구 연세로4길 38,,02-392-7523
엠브로돈까스 신촌점,"돈까스,우동",3.9,76,https://place.map.kakao.com/243549280,서울 서대문구 명물길 26,,02-363-5241
독수리다방,다방,4.3,79,https://place.map.kakao.com/18826661,서울 서대문구 연세로 36 독수리빌딩 8층,,02-363-1222
미도인 신촌점,"스테이크,립",4.0,255,https://place.map.kakao.com/594421253,서울 서대문구 명물길 33 2층,,
카라멘야,일본식라면,4.2,194,https://place.map.kakao.com/1025832828,서울 서대문구 연세로7안길 34-1 1층,,0507-1320-6221
여우골,"초밥,롤",3.5,72,https://place.map.kakao.com/27015866,서울 서대문구 연세로5다길 10,,
역전할머니맥주 서울신촌점,"호프,요리주점",2.6,70,https://place.map.kakao.com/1078291399,서울 서대문구 연세로7길 25,,02-334-4569
부탄츄 신촌점,일본식라면,3.3,127,https://place.map.kakao.com/21572456,서울 서대문구 연세로5길 26-9,,02-3144-6604
신촌수제비,수제비,3.3,76,https://place.map.kakao.com/12502450,서울 서대문구 신촌로 87-8 1층,,02-334-9252
한림돈가,"육류,고기",3.8,68,https://place.map.kakao.com/27588088,서울 서대문구 연세로7안길 16-4,,02-338-6604
미분당 신촌2호점,베트남음식,3.8,141,https://place.map.kakao.com/1985785355,서울 서대문구 연세로5길 26-7,,02-3141-9494
유닭스토리 신촌점,닭요리,3.7,116,https://place.map.kakao.com/19243601,서울 서대문구 연세로4길 7 1층,,02-6012-9563
에이투지카페,커피전문점,3.6,80,https://place.map.kakao.com/13594462,서울 서대문구 연세로4길 29,,02-313-7523
꼬숑돈까스,"돈까스,우동",3.5,109,https://place.map.kakao.com/27144649,서울 서대문구 명물1길 2 1층,,
