name,category,rating,review,link,add,hour,tel
스시도쿠,"초밥,롤",4.1,298,https://place.map.kakao.com/26792732,서울 성동구 왕십리광장로 6,영업시간 매일 11:30 ~ 21:00,02-2281-3255
악어떡볶이,떡볶이,3.6,292,https://place.map.kakao.com/11101743,서울 성동구 마조로 33,,02-2281-9988
제일곱창,"곱창,막창",3.8,435,https://place.map.kakao.com/1784439722,서울 성동구 고산자로 281 1층,월~토 15:00 ~ 22:00,
땅코참숯구이 본점,"육류,고기",4.1,276,https://place.map.kakao.com/487116221,서울 성동구 행당로17길 26 1층,월~금 16:00 ~ 23:00,02-2281-6908
왕십리조개창고,조개,3.2,335,https://place.map.kakao.com/12265333,서울 성동구 왕십리로 331 지하1층,월~금 17:00 ~ 24:00,010-4596-0449
인더매스 마장,카페,4.4,282,https://place.map.kakao.com/1460620031,서울 성동구 마장로 270,월~금 11:50 ~ 21:50,
춘향미엔,중화요리,4.0,278,https://place.map.kakao.com/1658512250,서울 성동구 왕십리로21길 26,매일 11:00 ~ 05:00 · 브레이크타임 월~금 14:50 ~ 16:00,02-2281-9031
갈십리,디저트카페,4.0,240,https://place.map.kakao.com/231920851,"서울 성동구 마조로 15-11 1, 2층",매일 11:00 ~ 23:00,010-9034-3939
행운돈까스,"돈까스,우동",4.0,96,https://place.map.kakao.com/8675374,서울 성동구 마조로1길 2,매일 10:00 ~ 21:30,02-2296-3406
엽기꼼닭발,닭요리,4.2,245,https://place.map.kakao.com/20089805,서울 성동구 왕십리로22길 3,월~금 15:30 ~ 01:00,02-2299-3838
왕십리맛나곱창,"곱창,막창",2.6,166,https://place.map.kakao.com/11975911,서울 성동구 고산자로 281-1,매일 15:00 ~ 03:00,02-2282-3349
양평회관,삼겹살,3.9,81,https://place.map.kakao.com/1210249885,"서울 성동구 마조로7길 16 1,2층",,010-9398-7230
키커피컴퍼니,카페,3.9,131,https://place.map.kakao.com/1742492568,서울 성동구 왕십리로 269,화~금 08:00 ~ 22:00,070-4230-8893
매란방 왕십리본점,중화요리,2.8,74,https://place.map.kakao.com/69842167,서울 성동구 왕십리광장로 17 왕십리민자역사 2층 역무1호,매일 11:00 ~ 21:30,02-2200-1550
왕십리 육감식당,삼겹살,4.2,87,https://place.map.kakao.com/142477401,서울 성동구 무학봉28길 1 1층,매일 12:00 ~ 23:00,02-2291-6092
갱생,한식,4.0,97,https://place.map.kakao.com/1964869012,서울 성동구 마조로7길 5 지하1층,,0507-1403-3454
사계진미 왕십리점,닭요리,4.1,35,https://place.map.kakao.com/1059380190,서울 성동구 왕십리로 311-1 2층,,02-2291-7744
램플러스 한양대점,양꼬치,3.9,108,https://place.map.kakao.com/938414011,서울 성동구 마조로 27,,02-2281-0405
이가갈비,갈비,3.1,53,https://place.map.kakao.com/10674476,서울 성동구 마조로 25 2층,,02-2298-8878
고깃집왕고을,"육류,고기",4.2,161,https://place.map.kakao.com/1294029566,서울 성동구 왕십리로24길 10-2 1층,,02-2292-3399
프롬하츠커피 성동구청점,카페,3.7,20,https://place.map.kakao.com/368428431,서울 성동구 고산자로 253,,
장어구이,장어,4.4,61,https://place.map.kakao.com/16764642,서울 성동구 마조로 17,,02-2294-8999
대도식당 왕십리본점,"육류,고기",3.1,248,https://place.map.kakao.com/7817321,서울 성동구 무학로12길 3,,02-2292-9772
최영희언양불고기,"불고기,두루치기",3.1,99,https://place.map.kakao.com/18521353,서울 성동구 무학봉28길 21,,02-2294-6077
엘루이 피자&펍,피자,3.8,60,https://place.map.kakao.com/882084709,서울 성동구 마조로5길 12,,02-2291-1365
봉순이네다락방,커피전문점,4.1,67,https://place.map.kakao.com/13498947,서울 성동구 왕십리로21길 13-1 지하1~2층,,02-2299-8057
유래회관,한식,3.8,54,https://place.map.kakao.com/8038298,서울 성동구 마장로 196,,02-2293-8866
푸줏간생고기점,"육류,고기",3.8,84,https://place.map.kakao.com/11820650,서울 성동구 행당로17길 24,,02-749-7361
정은이네곱창,"곱창,막창",2.1,50,https://place.map.kakao.com/11978798,서울 성동구 고산자로 289,,02-2295-1233
뜨아아아커피집,카페,3.9,151,https://place.map.kakao.com/1219627086,서울 성동구 고산자로12길 1-1,,
순곱이네 한양대점,"곱창,막창",4.3,90,https://place.map.kakao.com/360555278,서울 성동구 마조로1길 40-1,매일 15:00 ~ 01:00,0507-1322-1817
수상한막창 왕십리점,"곱창,막창",4.6,29,https://place.map.kakao.com/672340742,서울 성동구 무학봉28길 20 1층,월~금 16:00 ~ 00:00,02-2282-3177
용용선생 한양대점,"호프,요리주점",4.4,12,https://place.map.kakao.com/523557997,서울 성동구 마조로3가길 15 1층,매일 17:00 ~ 05:00,02-2295-5269
곱,"곱창,막창",4.1,19,https://place.map.kakao.com/27401255,서울 성동구 마조로7길 7,,02-2296-9238
브라운팟,카페,4.1,53,https://place.map.kakao.com/753723493,서울 성동구 무학봉28길 16,매일 10:00 ~ 22:00,02-2299-7796
띵똥와플 본점,간식,4.4,85,https://place.map.kakao.com/19157157,서울 성동구 마조로1길 32,매일 12:00 ~ 24:00,
왕십리정부네곱창 본점,"곱창,막창",3.3,95,https://place.map.kakao.com/12760402,서울 성동구 고산자로 287,매일 12:00 ~ 00:00,02-2298-0595
군자대한곱창 한양대점,"곱창,막창",3.4,46,https://place.map.kakao.com/146201851,서울 성동구 마조로7길 9 1층,월~토 16:00 ~ 01:00,02-2282-7890
우동가조쿠,"돈까스,우동",4.0,122,https://place.map.kakao.com/19036760,서울 성동구 왕십리로 215-2,영업시간 매일 11:00 ~ 21:00 · 브레이크타임 매일 15:00 ~ 17:00,
나인헤르츠,카페,2.8,28,https://place.map.kakao.com/26351001,서울 성동구 왕십리로 285,월~토 09:00 ~ 02:00,
스타벅스 왕십리역,커피전문점,3.4,23,https://place.map.kakao.com/26785715,서울 성동구 왕십리로 326,영업시간 월~토 07:00 ~ 21:00,1522-3232
역전할머니맥주 왕십리점,"호프,요리주점",3.3,64,https://place.map.kakao.com/437233415,서울 성동구 무학로2길 30,,02-2292-1982
스타벅스 엔터식스,커피전문점,3.7,21,https://place.map.kakao.com/7962122,서울 성동구 왕십리광장로 17 왕십리역사 엔터식스몰 지하1층,매일 10:30 ~ 22:00,1522-3232
양대포,"곱창,막창",4.3,228,https://place.map.kakao.com/285402441,서울 성동구 마조로 17 2층,매일 14:00 ~ 02:00,02-2294-9222
낙원스낵,"호프,요리주점",2.9,37,https://place.map.kakao.com/1879387617,서울 성동구 마조로5길 14 1층,매일 17:00 ~ 04:00,02-2297-1540
소나무,"육류,고기",3.6,140,https://place.map.kakao.com/14829844,서울 성동구 행당로17길 20,,02-2292-2222
일품백송칼국수&설렁탕,국수,3.6,41,https://place.map.kakao.com/12435138,서울 성동구 고산자로12길 1-1,,02-466-2090
뺑드미제빵소 한양대점,"제과,베이커리",4.2,46,https://place.map.kakao.com/24622132,서울 성동구 마조로9길 6-3,,
끄뜨머리집,"육류,고기",4.4,56,https://place.map.kakao.com/762032344,서울 성동구 마조로3길 8 1층,,02-2292-8574
본앤브레드 신관레스토랑,한식,2.9,47,https://place.map.kakao.com/1720612210,서울 성동구 마장로42길 1,,02-2294-5005
꼬꼬아찌숯불치킨 왕십리한양대점,치킨,1.9,31,https://place.map.kakao.com/1229275513,서울 성동구 마조로1가길 7 사임당빌딩 1층,,02-2293-8567
신원양꼬치,양꼬치,3.5,197,https://place.map.kakao.com/1934175195,서울 성동구 마조로 21 2층,,02-2298-9180
유유커피,카페,3.7,90,https://place.map.kakao.com/1741643929,서울 성동구 마조로11길 7 1층,,
일락 한양대점,일본식라면,3.5,11,https://place.map.kakao.com/21135103,서울 성동구 마조로3가길 30,,070-7584-6227
굴과찜사랑 본사직영점,"굴,전복",2.9,59,https://place.map.kakao.com/15278736,서울 성동구 행당로17길 23,,02-2296-9922
마장황소곱창,"곱창,막창",4.0,42,https://place.map.kakao.com/16647214,서울 성동구 고산자로 290,,02-2292-9786
투썸플레이스 왕십리역점,커피전문점,2.0,12,https://place.map.kakao.com/508456478,서울 성동구 왕십리광장로 17 5층 SP-01호,,02-2200-1088
장고네라라옥 한양대점,"호프,요리주점",3.7,43,https://place.map.kakao.com/537978351,서울 성동구 마조로7길 6 지하1층,,
하동진,국밥,3.4,39,https://place.map.kakao.com/322448944,서울 성동구 행당로17길 17 1층,,02-6405-7001
폽스,이탈리안,4.2,67,https://place.map.kakao.com/1704120687,서울 성동구 마조로7길 9-1 지하1층,,02-6401-2232
한양대황소곱창,"곱창,막창",2.1,23,https://place.map.kakao.com/12502209,서울 성동구 마조로5길 3,매일 12:00 ~ 02:00,02-2294-2066
버거쑈,햄버거,4.0,29,https://place.map.kakao.com/26951217,서울 성동구 마조로 35 서전빌딩 1층,매일 11:00 ~ 23:00,02-2297-7592
정통집 왕십리한양대점,"육류,고기",3.4,46,https://place.map.kakao.com/1160606492,서울 성동구 마조로1가길 11 1층,매일 15:00 ~ 01:00,02-2291-9460
