name,category,rating,review,link,add,hour,tel
로우앤슬로우,"육류,고기",2.8,349,https://place.map.kakao.com/1376253571,서울 용산구 보광로 126 2층,,02-793-2268
바토스 이태원점,"멕시칸,브라질",3.6,260,https://place.map.kakao.com/21535686,"서울 용산구 이태원로15길 1 1,2층",,02-797-8226
챔프커피 2작업실,커피전문점,3.6,188,https://place.map.kakao.com/1143868163,서울 용산구 녹사평대로26가길 24 1층,,02-790-4516
매덕스피자,피자,3.8,270,https://place.map.kakao.com/26966268,서울 용산구 이태원로26길 26 2층,,02-792-2420
오리지널 팬케익하우스 이태원점,디저트카페,3.0,120,https://place.map.kakao.com/27462552,서울 용산구 이태원로 153 덕흥빌딩 1층,,02-795-7481
꾸띠자르당,패밀리레스토랑,3.4,157,https://place.map.kakao.com/26928254,서울 용산구 보광로 120,,02-793-5072
쏭타이 이태원점,태국음식,3.8,243,https://place.map.kakao.com/26988317,서울 용산구 이태원로20가길 7-2 2층,,02-798-2495
오아시스 한남점,디저트카페,3.0,252,https://place.map.kakao.com/1456774315,"서울 용산구 이태원로45길 30 1,2층",,02-790-8906
다운타우너 한남,햄버거,4.1,662,https://place.map.kakao.com/1312159706,서울 용산구 대사관로5길 12 1층,,0507-1405-3696
키에리 이태원점,디저트카페,1.8,127,https://place.map.kakao.com/800587300,서울 용산구 이태원로26길 16-8 1층,,
명동교자 이태원점,국수,3.6,133,https://place.map.kakao.com/1952478679,서울 용산구 녹사평대로 136,,02-790-7300
야키토리고우,일본식주점,4.0,46,https://place.map.kakao.com/19723946,서울 용산구 이태원로27가길 45 지하1층,,02-794-7088
아노브 이태원본점,피자,4.5,98,https://place.map.kakao.com/26781910,서울 용산구 이태원로20가길 7-5 1층,,0507-1428-6606
오월의종,"제과,베이커리",4.1,67,https://place.map.kakao.com/8025414,서울 용산구 이태원로 229 1층,,02-792-5561
모터시티바이매니멀 본점,피자,3.4,187,https://place.map.kakao.com/124338573,서울 용산구 이태원로 140-1 2층,,02-794-8877
부자피자 1호점,피자,3.7,164,https://place.map.kakao.com/21212902,서울 용산구 이태원로55가길 28,,02-794-9474
맥심플랜트,카페,4.3,335,https://place.map.kakao.com/711864705,서울 용산구 이태원로 250,,070-4287-8557
플랜트 이태원,양식,4.3,61,https://place.map.kakao.com/131087887,서울 용산구 보광로 117 2층,,02-749-1981
롸카두들 내쉬빌핫치킨 이태원점,햄버거,4.3,244,https://place.map.kakao.com/654491255,서울 용산구 녹사평대로40나길 9 1층,,02-798-3456
더할랄가이즈 이태원점,양식,3.7,119,https://place.map.kakao.com/276673831,서울 용산구 이태원로 187,,02-794-8308
타파스바,"호프,요리주점",3.9,144,https://place.map.kakao.com/27494932,서울 용산구 이태원로27가길 49 1층,,010-3468-0799
다츠,퓨전요리,3.8,96,https://place.map.kakao.com/442572058,서울 용산구 이태원로55나길 6,,02-792-7445
나리의집,삼겹살,3.2,227,https://place.map.kakao.com/8194939,서울 용산구 이태원로 245,,02-793-4860
앤트러사이트 한남점,카페,3.5,185,https://place.map.kakao.com/27344582,서울 용산구 이태원로 240 1~3층,,02-797-7508
테라로사 한남점,커피전문점,3.9,76,https://place.map.kakao.com/163434813,"서울 용산구 이태원로36길 15 지하1,2층",,033-648-2760
단골집,"호프,요리주점",4.1,317,https://place.map.kakao.com/27474269,서울 용산구 보광로59길 14-1 2층,,02-797-3373
