,name,category,rating,review,link,add,hour,tel,sub,category_dic,rev,lat,lng
0,광고남도애찬,한식,4,38.0,https://place.map.kakao.com/85570955,서울 강남구 역삼로3길 8,월~토 10:00 ~ 23:00,02-538-1588,강남역,한식,0 ~ 200 개,37.4940619,127.0318059
1,광고백억하누 강남본점,한식,4,158.0,https://place.map.kakao.com/26431943,서울 강남구 테헤란로5길 29,매일 11:30 ~ 22:30,02-568-8592,강남역,한식,0 ~ 200 개,37.50046400000001,127.0287556
2,광고램스칸,"육류,고기",4,15.0,https://place.map.kakao.com/27270313,서울 서초구 서초대로78길 36,매일 11:30 ~ 23:00,02-585-7870,강남역,한식,0 ~ 200 개,37.4946662,127.0281488
3,땀땀,베트남음식,3,2240.0,https://place.map.kakao.com/1238400864,서울 강남구 역삼동 817-31,매일 11:00 ~ 22:00,02-554-8892,강남역,기타,1000개 이상,37.5003764,127.0279606
4,어글리스토브 강남역점,양식,3,474.0,https://place.map.kakao.com/25891059,서울 강남구 강남대로98길 20 1층,매일 10:30 ~ 22:30,02-558-8459,강남역,양식,400 ~ 700 개,37.5007641,127.0282168
5,낙원타코 강남역점,"멕시칸,브라질",3,416.0,https://place.map.kakao.com/1752978029,서울 서초구 서초대로73길 9 타임빌딩 2층,매일 11:30 ~ 23:00,02-595-1540,강남역,기타,400 ~ 700 개,37.4982696,127.0252148
6,보슬보슬,분식,3,496.0,https://place.map.kakao.com/1863534623,서울 강남구 테헤란로8길 22,영업시간 매일 08:00 ~ 21:00,02-6014-1245,강남역,분식,400 ~ 700 개,37.4973823,127.0315957
7,갓덴스시 강남점,"초밥,롤",3,226.0,https://place.map.kakao.com/13575898,서울 강남구 테헤란로 109 강남제일빌딩 1층,매일 11:00 ~ 21:30,02-2051-1477,강남역,일식,200 ~ 400 개,37.4987872,127.0289786
8,이춘복참치&스시 강남점,참치회,2,92.0,https://place.map.kakao.com/109169564,"서울 서초구 강남대로61길 13 1,2층",월~토 11:00 ~ 01:00 · 브레이크타임1 월~토 14:30 ~ 16:30,02-591-4558,강남역,일식,0 ~ 200 개,37.4988517,127.0255375
9,블루보틀 역삼 카페,카페,3,181.0,https://place.map.kakao.com/495658881,서울 강남구 테헤란로 129 강남N타워 1층,영업시간 월~금 08:00 ~ 20:00,02-6212-6998,강남역,"베이커리,카페",0 ~ 200 개,37.4997777,127.0324107
10,장인닭갈비 강남점,닭요리,3,512.0,https://place.map.kakao.com/95713992,서울 강남구 테헤란로1길 19 지하1층,매일 11:00 ~ 23:00,02-3452-3441,강남역,한식,400 ~ 700 개,37.4995662,127.0275062
11,프리모바치오바치 강남점,이탈리안,4,205.0,https://place.map.kakao.com/25036974,서울 강남구 강남대로 416 2층,매일 11:00 ~ 23:00,02-501-0885,강남역,양식,200 ~ 400 개,37.4997597,127.0271441
12,이자카야나무 강남3호점,일본식주점,3,53.0,https://place.map.kakao.com/27564595,서울 서초구 서초대로75길 23,매일 16:30 ~ 05:00,02-535-0348,강남역,"호프,펍",0 ~ 200 개,37.49973,127.0252976
13,창고43 강남점,"육류,고기",3,117.0,https://place.map.kakao.com/1503746075,서울 강남구 강남대로 362 대륭강남타워 지하1층,매일 11:30 ~ 22:00 · 브레이크타임 매일 14:00 ~ 17:30,02-508-0043,강남역,한식,0 ~ 200 개,37.4953858,127.0293408
14,일일향 3호점,중화요리,2,89.0,https://place.map.kakao.com/27504403,서울 서초구 서초대로78길 22 3층,매일 11:20 ~ 21:30,02-555-8133,강남역,중식,0 ~ 200 개,37.4957685,127.0275363
15,마녀주방 강남점,이탈리안,3,303.0,https://place.map.kakao.com/26330643,"서울 강남구 강남대로94길 9 크리스탈빌딩 지하 1, 2층",화~일 12:00 ~ 22:30 · 브레이크타임 월~금 15:00 ~ 17:00,,강남역,양식,200 ~ 400 개,37.4901285,127.0343273
