name,category,rating,review,link,add,hour,tel
광고고베그릴,"육류,고기",3.3,38,https://place.map.kakao.com/26344965,서울 관악구 남부순환로 2082-25 5층,매일 11:30 ~ 23:40,02-3472-6073
광고수산식당,"해물,생선",2.6,11,https://place.map.kakao.com/368019779,서울 관악구 남부순환로 2082-25 4층,매일 11:30 ~ 23:40,02-581-6071
삼육가 사당역점,"육류,고기",4.1,262,https://place.map.kakao.com/211389635,서울 서초구 방배천로 10,매일 11:30 ~ 23:00 · 브레이크타임 매일 15:00 ~ 17:00,02-582-0102
복돈이부추삼겹살 사당본점,삼겹살,2.4,282,https://place.map.kakao.com/20745677,"서울 관악구 남현1길 68-14 1, 2층",매일 12:00 ~ 02:00,02-582-5124
바른식 시골보쌈&감자옹심이 사당역별관점,"족발,보쌈",2.6,22,https://place.map.kakao.com/25770378,서울 서초구 방배천로 12,매일 11:30 ~ 23:00,02-6959-2830
전주전집,한식,3.2,222,https://place.map.kakao.com/8078768,서울 동작구 동작대로7길 19,월~토 15:30 ~ 02:00,02-581-1419
가마솥손두부,두부전문점,4.1,41,https://place.map.kakao.com/8106735,서울 동작구 남부순환로271길 20,매일 11:50 ~ 22:00,02-3472-2202
페니힐스,커피전문점,3.8,105,https://place.map.kakao.com/19392595,서울 동작구 동작대로1길 10-14 1층,영업시간 매일 12:00 ~ 21:00,
리에또,이탈리안,3.9,119,https://place.map.kakao.com/27311683,서울 서초구 방배천로4안길 20,매일 11:00 ~ 21:20 · 브레이크타임 월~금 15:00 ~ 17:00,02-581-5291
광안리,"해물,생선",3.2,158,https://place.map.kakao.com/27282324,서울 동작구 동작대로7길 5 1층,매일 17:30 ~ 02:00,0507-102-4824
강고집 사당본점,"육류,고기",4.6,126,https://place.map.kakao.com/736976770,서울 서초구 방배천로4안길 6 1층,월~금 17:00 ~ 23:00,02-6489-9589
코다차야 사당점,실내포장마차,3.3,34,https://place.map.kakao.com/20708815,서울 서초구 방배천로2길 7 지하1층,매일 17:00 ~ 03:00,02-837-3000
초와밥,일식집,4.0,143,https://place.map.kakao.com/27384429,서울 동작구 동작대로5길 8,월~토 11:30 ~ 22:30 · 브레이크타임 월~금 14:30 ~ 16:30,02-523-5937
청송산오징어,회,4.0,122,https://place.map.kakao.com/11831516,서울 관악구 남현1길 8,월~금 15:00 ~ 01:00,02-584-5286
조가네갑오징어 사당직영3호점,"해물,생선",3.2,110,https://place.map.kakao.com/21827385,서울 동작구 남부순환로271길 24,매일 10:00 ~ 22:00,02-3472-0108
라시에스타,이탈리안,2.9,140,https://place.map.kakao.com/10375994,서울 동작구 동작대로 21 양지빌딩 6층,매일 11:30 ~ 22:30,02-587-9087
통영해물보쌈,"해물,생선",3.4,85,https://place.map.kakao.com/2071966490,서울 서초구 방배천로4길 26,매일 11:00 ~ 24:00,02-585-4378
고베그릴,"육류,고기",3.3,38,https://place.map.kakao.com/26344965,서울 관악구 남부순환로 2082-25 5층,,02-3472-6073
