name,category,rating,review,link,add,hour,tel
마호가니커피 여의도점,카페,3.2,183,https://place.map.kakao.com/409589446,서울 영등포구 여의대로 66 KTB빌딩 1층,,02-785-8880
진주집,국수,3.8,806,https://place.map.kakao.com/8094563,서울 영등포구 국제금융로6길 33 여의도백화점 지하1층,,02-780-6108
바스버거 여의도점,햄버거,4.1,202,https://place.map.kakao.com/1165592124,서울 영등포구 국제금융로 20 율촌빌딩 지하1층,,02-784-6643
아루히,"초밥,롤",3.7,392,https://place.map.kakao.com/1247032398,서울 영등포구 여의나루로 42 여의도종합상가 2층 221호,,02-780-3903
세상의모든아침 여의도점,양식,3.1,673,https://place.map.kakao.com/27353169,"서울 영등포구 여의대로 24 전경련회관 50, 51층",,02-2055-4442
브루클린더버거조인트 여의도점,햄버거,3.9,186,https://place.map.kakao.com/813306099,서울 영등포구 국제금융로2길 24 BNK금융타워 1층,,02-761-7180
진가와 여의도점,일식,3.4,132,https://place.map.kakao.com/371810654,서울 영등포구 국제금융로2길 17 3층,,02-782-9072
피그인더가든 여의도점,카페,2.8,164,https://place.map.kakao.com/1149136625,서울 영등포구 여의대로 56 한화투자증권빌딩 1층,,
도쿄등심 여의도점,"육류,고기",4.0,319,https://place.map.kakao.com/663977672,서울 영등포구 여의나루로 50 한국교직원공제회관 지하1층,,02-782-2260
더플레이트디저트 더현대서울점,디저트카페,3.5,117,https://place.map.kakao.com/2122184252,서울 영등포구 여의대로 108 지하1층,,02-3277-0796
오복수산참치,참치회,3.8,141,https://place.map.kakao.com/1976028871,서울 영등포구 의사당대로 83 오투타워 2층,,02-783-9988
일일향 여의도점,중화요리,3.3,36,https://place.map.kakao.com/1033345535,서울 영등포구 의사당대로 83 오투타워 2층,,02-783-9311
창고43 본점,"육류,고기",3.8,64,https://place.map.kakao.com/8086602,서울 영등포구 국제금융로6길 33 여의도백화점 M2층,,02-783-4557
본보야지,이탈리안,3.2,115,https://place.map.kakao.com/867470979,서울 영등포구 국제금융로2길 7 한주빌딩 2층,,02-782-8889
타코벨 여의도메리츠점,"멕시칸,브라질",2.5,32,https://place.map.kakao.com/26883285,서울 영등포구 국제금융로2길 11 메리츠화재 1층,,02-3775-3330
가양칼국수,국수,3.9,326,https://place.map.kakao.com/20746242,서울 영등포구 국제금융로 78 홍우빌딩 지하1층,,02-784-0409
빌리엔젤 여의도삼성생명점,디저트카페,2.5,49,https://place.map.kakao.com/1229801043,서울 영등포구 국제금융로2길 24 BNK금융타워 1층,,070-4801-0141
정인면옥,냉면,3.5,162,https://place.map.kakao.com/23699720,서울 영등포구 국회대로76길 10 1층,,02-2683-2615
