name,category,rating,review,link,add,hour,tel
광고더키친750,양식,3.7,176,https://place.map.kakao.com/596544016,서울 종로구 대학로8가길 80 2층,월~금 11:30 ~ 21:30,02-743-0554
광고대통령삼겹살,"육류,고기",3.8,69,https://place.map.kakao.com/14542127,서울 종로구 대학로14길 12-1,매일 12:00 ~ 23:00,02-766-4405
호호식당 대학로점,일식,3.3,385,https://place.map.kakao.com/561633351,서울 종로구 대학로9길 35 1층,매일 11:00 ~ 22:00 · 브레이크타임 매일 15:00 ~ 17:00,02-741-2384
정돈,"돈까스,우동",3.7,284,https://place.map.kakao.com/27306859,서울 종로구 대학로9길 12 지하1층,영업시간 매일 11:30 ~ 21:00 · 브레이크타임 매일 14:00 ~ 17:00,02-987-0924
핏제리아오,피자,4.2,378,https://place.map.kakao.com/21555096,서울 종로구 동숭길 48,매일 11:30 ~ 22:30,02-3673-5005
학림다방,카페,4.1,218,https://place.map.kakao.com/8143287,서울 종로구 대학로 119 2층,월~금 10:00 ~ 22:50,02-742-2877
혜화도담,한식,4.3,212,https://place.map.kakao.com/497931179,서울 종로구 대명1길 16-6 1층,매일 11:00 ~ 23:00 · 브레이크타임 월~금 15:00 ~ 17:00,02-744-9850
순대실록 대학로본점,순대,3.5,157,https://place.map.kakao.com/22961938,서울 종로구 동숭길 127 우성빌딩 2층,매일 07:00 ~ 24:00,02-742-5338
칸다소바 혜화점,일본식라면,4.2,82,https://place.map.kakao.com/1340493944,서울 종로구 대학로 131-1 1층,매일 11:30 ~ 21:30 · 브레이크타임 매일 15:30 ~ 17:00,02-747-1662
버거파크 혜화점,햄버거,4.4,579,https://place.map.kakao.com/1252440966,서울 종로구 대학로11길 5 1층,매일 11:30 ~ 22:00,02-747-3005
촌놈,삼겹살,4.6,156,https://place.map.kakao.com/26792792,서울 종로구 대학로8가길 48 연경빌딩 2층,화~금 16:00 ~ 23:00,02-743-1011
나누미떡볶이 성대본점,떡볶이,3.3,232,https://place.map.kakao.com/10199904,서울 종로구 성균관로 9-1,매일 00:00 ~ 24:00,02-747-0881
혜화칼국수,국수,3.3,185,https://place.map.kakao.com/8176347,서울 종로구 창경궁로35길 13,매일 11:00 ~ 22:00,02-743-8212
뎁짜이,베트남음식,3.8,209,https://place.map.kakao.com/916333750,서울 종로구 대학로11길 41-4,매일 11:00 ~ 22:00,02-763-1915
카페키이로,커피전문점,4.0,117,https://place.map.kakao.com/468528939,서울 종로구 창경궁로26길 41-3 2층,"월,화,수요일",
만리성,중화요리,2.2,118,https://place.map.kakao.com/7860491,서울 종로구 대학로12길 61,매일 10:00 ~ 21:30,02-747-0957
깔리,인도음식,4.1,183,https://place.map.kakao.com/21332445,서울 종로구 대학로11길 43,,02-747-5050
하이디라오 대학로점,아시아음식,3.6,87,https://place.map.kakao.com/731469845,서울 종로구 대학로 146 3층,,02-743-6868
파스타마켓,이탈리안,3.5,145,https://place.map.kakao.com/2092569747,서울 종로구 대학로11길 9-5 1층,,0507-1436-7716
프리모바치오바치 대학로점,이탈리안,3.9,95,https://place.map.kakao.com/24057506,서울 종로구 대학로10길 5 2층,,
멘야산다이메 대학로점,일본식라면,3.7,143,https://place.map.kakao.com/14503615,서울 종로구 창경궁로26길 38-2 1층,,02-743-4129
1940금문,중화요리,2.6,65,https://place.map.kakao.com/8700075,서울 종로구 창경궁로 269-1,,02-762-0918
서양집,이탈리안,4.2,229,https://place.map.kakao.com/1663022585,서울 종로구 대학로9길 23-2 2층,,02-764-7725
칠린,카페,3.5,157,https://place.map.kakao.com/1067900892,서울 종로구 대학로11길 41-8 1층,,
독일주택,"호프,요리주점",3.9,110,https://place.map.kakao.com/25463398,서울 종로구 대명1길 16-4 1층,,02-742-1933
우와 대학로점,일식,4.1,177,https://place.map.kakao.com/1064214241,서울 종로구 동숭길 78 2층,,010-7106-9224
도토리편백집 대학로점,"육류,고기",3.2,209,https://place.map.kakao.com/1705574276,서울 종로구 창경궁로34길 26 2층,,02-747-3392
부부식당,분식,3.8,216,https://place.map.kakao.com/839397094,서울 종로구 동숭길 43,,02-765-6056
개뿔,갤러리카페,4.1,169,https://place.map.kakao.com/890843625,"서울 종로구 낙산성곽서1길 26 1,2층",,02-765-2019
나폴레옹제과점 본점,"제과,베이커리",2.9,138,https://place.map.kakao.com/8203240,서울 성북구 성북로 7,,02-742-7421
훠궈나라 대학로본점,샤브샤브,4.1,134,https://place.map.kakao.com/2878433,서울 종로구 창경궁로 242 2층,,02-765-1592
깔리,인도음식,4.1,183,https://place.map.kakao.com/21332445,서울 종로구 대학로11길 43,영업시간 월~금 11:30 ~ 20:30 · 브레이크타임 월~금 15:00 ~ 17:00,02-747-5050
하이디라오 대학로점,아시아음식,3.6,87,https://place.map.kakao.com/731469845,서울 종로구 대학로 146 3층,매일 05:00 ~ 24:00,02-743-6868
파스타마켓,이탈리안,3.5,145,https://place.map.kakao.com/2092569747,서울 종로구 대학로11길 9-5 1층,영업시간 매일 11:30 ~ 21:00,0507-1436-7716
프리모바치오바치 대학로점,이탈리안,3.9,95,https://place.map.kakao.com/24057506,서울 종로구 대학로10길 5 2층,매일 11:00 ~ 23:00,
멘야산다이메 대학로점,일본식라면,3.7,143,https://place.map.kakao.com/14503615,서울 종로구 창경궁로26길 38-2 1층,영업시간 매일 11:30 ~ 21:00,02-743-4129
1940금문,중화요리,2.6,65,https://place.map.kakao.com/8700075,서울 종로구 창경궁로 269-1,수요일,02-762-0918
서양집,이탈리안,4.2,229,https://place.map.kakao.com/1663022585,서울 종로구 대학로9길 23-2 2층,영업시간 월~금 11:30 ~ 21:20 · 브레이크타임 월~금 15:00 ~ 17:00,02-764-7725
칠린,카페,3.5,157,https://place.map.kakao.com/1067900892,서울 종로구 대학로11길 41-8 1층,매일 12:00 ~ 24:00,
독일주택,"호프,요리주점",3.9,110,https://place.map.kakao.com/25463398,서울 종로구 대명1길 16-4 1층,매일 16:00 ~ 01:00,02-742-1933
우와 대학로점,일식,4.1,177,https://place.map.kakao.com/1064214241,서울 종로구 동숭길 78 2층,월~금 17:00 ~ 24:00,010-7106-9224
도토리편백집 대학로점,"육류,고기",3.2,209,https://place.map.kakao.com/1705574276,서울 종로구 창경궁로34길 26 2층,매일 11:30 ~ 24:00,02-747-3392
부부식당,분식,3.8,216,https://place.map.kakao.com/839397094,서울 종로구 동숭길 43,월~토 11:00 ~ 22:00 · 브레이크타임 월~토 15:00 ~ 16:00,02-765-6056
개뿔,갤러리카페,4.1,169,https://place.map.kakao.com/890843625,"서울 종로구 낙산성곽서1길 26 1,2층",매일 10:00 ~ 22:00,02-765-2019
나폴레옹제과점 본점,"제과,베이커리",2.9,138,https://place.map.kakao.com/8203240,서울 성북구 성북로 7,매일 08:30 ~ 21:30,02-742-7421
훠궈나라 대학로본점,샤브샤브,4.1,134,https://place.map.kakao.com/2878433,서울 종로구 창경궁로 242 2층,매일 11:30 ~ 22:30,02-765-1592
마녀주방 대학로점,양식,2.2,64,https://place.map.kakao.com/1865972978,"서울 종로구 대명길 18 2, 3층",,070-8836-1116
현초밥,"초밥,롤",2.4,59,https://place.map.kakao.com/24049171,서울 종로구 대학로11길 39,,
은행골 대학로점,"초밥,롤",3.1,65,https://place.map.kakao.com/27338284,서울 종로구 창경궁로26길 38,,02-486-4988
신선식탁,양식,3.9,219,https://place.map.kakao.com/1718266224,서울 종로구 율곡로13가길 4,,02-742-6933
커피한약방 혜화점,커피전문점,4.4,89,https://place.map.kakao.com/1670739315,서울 종로구 동숭2길 9,,070-4200-4242
타셴,북카페,3.5,52,https://place.map.kakao.com/13603557,서울 종로구 동숭길 113 정보빌딩 1층,,02-3673-4115
대포찜닭 대학로점,닭요리,3.3,168,https://place.map.kakao.com/25984103,서울 종로구 대학로9길 18,,02-742-6669
혜화돌쇠아저씨,떡볶이,3.3,100,https://place.map.kakao.com/8624124,서울 종로구 대학로 129-8,,
대한맥주집 대학로본점,"호프,요리주점",3.7,72,https://place.map.kakao.com/26593175,서울 종로구 대학로11길 38-11 1층,,02-3674-0815
차니오뎅,오뎅바,4.5,86,https://place.map.kakao.com/27583091,서울 종로구 창경궁로 258-13 1층,,02-3676-0002
혜화역4번출구카페제이드,카페,4.4,48,https://place.map.kakao.com/841364261,서울 종로구 창경궁로34길 5 2층,,02-6083-0601
헤이커피,카페,4.3,168,https://place.map.kakao.com/1837149680,서울 종로구 대학로11길 19-4 1층,,070-8811-0209
혜화양육관,양꼬치,3.9,40,https://place.map.kakao.com/14499993,서울 종로구 대명1길 23,,02-743-7763
대규스시,"초밥,롤",3.2,63,https://place.map.kakao.com/26598950,서울 종로구 동숭3길 1,,
통큰갈비 대학로점,갈비,4.4,59,https://place.map.kakao.com/27607834,서울 종로구 창경궁로 258-12 1층,,02-764-3374
벌툰 대학로점,만화카페,3.6,10,https://place.map.kakao.com/704583232,서울 종로구 대학로10길 26 5층,,02-742-4158
슬로스텝,커피전문점,2.7,71,https://place.map.kakao.com/25977363,서울 종로구 대학로8가길 89 3층,,02-762-2229
대통령삼겹살,"육류,고기",3.8,69,https://place.map.kakao.com/14542127,서울 종로구 대학로14길 12-1,,02-766-4405
고기공방,한식,4.3,73,https://place.map.kakao.com/1636195524,서울 종로구 대명1길 16-17 1층,,02-744-0415
부탄츄 대학로점,일본식라면,3.6,49,https://place.map.kakao.com/2082603117,서울 종로구 대학로9길 23-2,,
메밀향그집,닭요리,4.3,164,https://place.map.kakao.com/15716957,서울 종로구 대학로11길 18,,02-745-3681
카페혜화동,카페,3.9,139,https://place.map.kakao.com/575297453,서울 종로구 창경궁로26길 40 2층,,02-6497-3347
비스트로주라,"스테이크,립",4.7,64,https://place.map.kakao.com/1310035990,서울 종로구 동숭길 50 1층,,
두두,"호프,요리주점",4.8,69,https://place.map.kakao.com/18828141,서울 종로구 동숭2길 3-4,,010-9119-1884
온혜화,"제과,베이커리",4.4,109,https://place.map.kakao.com/292879403,서울 종로구 대학로12길 80 1층,,
