name,category,rating,review,link,add,hour,tel
광고홍대파스타리코,양식,4.3,438,https://place.map.kakao.com/733953859,서울 마포구 홍익로5안길 32 준빌라,,02-3144-0808
1984,북카페,3.8,448,https://place.map.kakao.com/23634722,서울 마포구 동교로 194 혜원빌딩 1층,,02-325-1984
감성타코 홍대점,"멕시칸,브라질",3.1,142,https://place.map.kakao.com/892514586,서울 마포구 와우산로21길 20-11 2층,,02-337-8883
연남토마 본점,퓨전일식,3.6,303,https://place.map.kakao.com/308342289,서울 마포구 월드컵북로6길 61,,02-332-8064
가미우동,"돈까스,우동",4.4,153,https://place.map.kakao.com/13337463,서울 마포구 홍익로2길 23,,02-322-3302
연남물갈비,갈비,3.9,166,https://place.map.kakao.com/813150217,서울 마포구 월드컵북로4길 13 2층,,02-332-9211
프리모바치오바치 홍대본점,이탈리안,3.5,198,https://place.map.kakao.com/8123221,"서울 마포구 와우산로23길 44 2,3층",,02-323-0098
943킹스크로스,카페,3.7,329,https://place.map.kakao.com/53292857,서울 마포구 양화로16길 24,,02-3144-2112
브런치가,카페,2.7,201,https://place.map.kakao.com/1710643353,서울 마포구 월드컵북로4길 39,,02-735-0263
앤디스커피,카페,3.5,30,https://place.map.kakao.com/1737597646,서울 마포구 와우산로35길 75 2층,,070-7706-3404
하이디라오 홍대지점,중화요리,3.9,152,https://place.map.kakao.com/1622865435,서울 마포구 양화로 176 와이즈파크 5층,,02-332-7668
마녀주방 홍대점,양식,4.3,185,https://place.map.kakao.com/1736742094,"서울 마포구 와우산로21길 36-10 1, 2층",,
중화복춘,중화요리,4.0,160,https://place.map.kakao.com/965893653,서울 마포구 동교로 220-7 1층,,0507-1436-2209
또보겠지떡볶이 해피토스점,떡볶이,3.8,90,https://place.map.kakao.com/1463316899,서울 마포구 잔다리로6길 34-5 2층,,010-5699-8907
지로우라멘,일본식라면,4.1,137,https://place.map.kakao.com/23734945,서울 마포구 와우산로29가길 79,,
우와 홍대본점,철판요리,3.5,121,https://place.map.kakao.com/400281849,서울 마포구 와우산로21길 21-16 202호,,
바다회사랑 2호점,회,3.3,277,https://place.map.kakao.com/27321311,서울 마포구 동교로 143,,
부탄츄 홍대점,일본식라면,2.9,135,https://place.map.kakao.com/18742750,서울 마포구 와우산로35길 75 1층,,02-3144-3304
중화복춘골드 동교점,중화요리,4.2,94,https://place.map.kakao.com/673707765,서울 마포구 월드컵북로6길 42 태성빌딩 1층 101호,,0507-1435-2209
더피자보이즈 서교점,피자,4.0,151,https://place.map.kakao.com/805500797,서울 마포구 와우산로29마길 24-1 1층,,02-336-0801
스시메이진 홍대점,"초밥,롤",1.9,268,https://place.map.kakao.com/27233813,서울 마포구 양화로18길 3 삼양빌딩 2층,,02-3144-7072
또보겠지떡볶이집 붕붕허니비점,떡볶이,3.6,330,https://place.map.kakao.com/763211643,서울 마포구 양화로19길 22-25 2층,,
비스트로주라,양식,4.3,173,https://place.map.kakao.com/27272711,서울 마포구 와우산로23길 18-7 1층,,
테일러커피 서교점,커피전문점,4.3,118,https://place.map.kakao.com/27248379,서울 마포구 와우산로27길 7 2층,,02-334-0355
카페공명,"제과,베이커리",4.0,234,https://place.map.kakao.com/1797970569,서울 마포구 연희로 11 한국특허정보원빌딩 1층,,070-8869-6304
톤앤매너,카페,4.3,26,https://place.map.kakao.com/1960387368,서울 마포구 와우산로29가길 13 1층,,02-332-8252
이미커피,카페,4.2,123,https://place.map.kakao.com/15985522,서울 마포구 동교로25길 7 1층,,02-6368-5228
21세기 우리바다수산,회,2.4,86,https://place.map.kakao.com/21089840,서울 마포구 동교로 173,,02-3141-6386
어메이징농카이,태국음식,3.8,108,https://place.map.kakao.com/22300586,서울 마포구 월드컵북로1길 42,,02-322-0567
로운샤브샤브 홍대점,샤브샤브,3.1,129,https://place.map.kakao.com/25985156,서울 마포구 양화로 153 토로스쇼핑타워 지하 1층,,02-338-3900
삿뽀로 홍대점,일식집,1.9,28,https://place.map.kakao.com/18046756,서울 마포구 월드컵북로 14,,02-3144-4671
카와카츠,"돈까스,우동",3.8,238,https://place.map.kakao.com/1351221007,서울 마포구 동교로 126 1층 102호,,070-8801-2053
이츠모라멘,일본식라면,4.2,112,https://place.map.kakao.com/1719380793,서울 마포구 와우산로23길 18-7 2층 202호,,0507-1309-1997
W카페,카페,2.4,28,https://place.map.kakao.com/11933564,서울 마포구 동교로25길 16,,070-7818-7953
황곱 홍대점,"곱창,막창",4.8,116,https://place.map.kakao.com/18514677,서울 마포구 어울마당로 149 1층,,02-337-8292
여우골 홍대점,"초밥,롤",3.9,130,https://place.map.kakao.com/27253757,서울 마포구 와우산로19길 9,,02-325-8717
혼가츠,"돈까스,우동",2.7,278,https://place.map.kakao.com/22895023,서울 마포구 와우산로21길 36-6 102호,,02-322-8850
마포곱창타운,"곱창,막창",3.9,147,https://place.map.kakao.com/10341266,서울 마포구 동교로27길 20,,02-336-4496
불이아 본점,중화요리,3.8,52,https://place.map.kakao.com/20233508,서울 마포구 동교로 182-6,,02-335-6689
아오이토리,"제과,베이커리",3.7,147,https://place.map.kakao.com/24504952,서울 마포구 와우산로29길 8,,02-333-0421
터틀힙,"제과,베이커리",3.8,156,https://place.map.kakao.com/1254879622,서울 마포구 양화로18안길 22 B&J빌딩 2층,,02-332-5851
멘야산다이메 홍대점,일본식라면,3.5,129,https://place.map.kakao.com/12887413,서울 마포구 홍익로5안길 24,,02-332-4129
손오공마라탕,중식,3.1,133,https://place.map.kakao.com/898487564,서울 마포구 양화로18길 15,,02-780-8686
카페장쌤,카페,3.7,105,https://place.map.kakao.com/15612278,서울 마포구 와우산로29마길 5,,070-4084-3414
태양커피 홍대점,커피전문점,4.0,64,https://place.map.kakao.com/1139784588,서울 마포구 어울마당로 100-12 1층,,02-332-8183
조선시대,한식,4.1,119,https://place.map.kakao.com/1985225055,서울 마포구 홍익로3길 44 지하1층,,010-9482-9185
락희돈,일본식주점,3.7,93,https://place.map.kakao.com/814587106,서울 마포구 월드컵북로2길 86 1층,월~토 16:00 ~ 01:00,02-332-1233
또보겠지떡볶이집 깐따삐아점,떡볶이,3.6,143,https://place.map.kakao.com/895272833,서울 마포구 와우산로21길 28-12,영업시간 화~일 11:30 ~ 20:00,
롤링파스타 홍대점,이탈리안,2.2,82,https://place.map.kakao.com/1680046810,서울 마포구 홍익로 6 2층,매일 11:30 ~ 22:00,02-336-2385
훠궈나라 홍대점,중화요리,3.5,143,https://place.map.kakao.com/1226080781,서울 마포구 어울마당로 133,매일 11:00 ~ 02:00,02-322-1592
버터밀크,카페,3.9,117,https://place.map.kakao.com/26966117,서울 마포구 와우산로 130 1층,수요일,
평안도상원냉면,냉면,3.7,79,https://place.map.kakao.com/628981699,서울 마포구 양화로 156 LG팰리스빌딩 지하1층 134호,"월,화,수,일요일",02-332-8935
공상온도,카페,4.0,151,https://place.map.kakao.com/27379281,서울 마포구 동교로23길 40 지하 1층,매일 12:30 ~ 23:00,02-336-0247
장작집,치킨,4.0,121,https://place.map.kakao.com/1191541006,서울 마포구 월드컵북로6길 19,,010-3336-8844
푸하하크림빵,"제과,베이커리",3.4,198,https://place.map.kakao.com/27456816,서울 마포구 양화로19길 22-25,매일 10:00 ~ 22:00,
이빠네마그릴 홍대점,"멕시칸,브라질",4.4,341,https://place.map.kakao.com/899602257,서울 마포구 홍익로 7 지하1층,화~일 11:30 ~ 22:00 · 브레이크타임 화~일 14:30 ~ 17:00,02-323-4440
홍스쭈꾸미 홍대본점,"해물,생선",3.9,250,https://place.map.kakao.com/11786671,서울 마포구 어울마당로 146,매일 11:30 ~ 24:00,02-325-7943
스시엔준,"초밥,롤",4.7,70,https://place.map.kakao.com/234865859,서울 마포구 동교로 198 태양빌딩 1층 102호,월~토 11:30 ~ 22:30 · 브레이크타임 매일 15:00 ~ 17:00,02-332-2331
마시타야,일본식라면,3.7,88,https://place.map.kakao.com/1925626633,서울 마포구 와우산로29라길 26,"영업시간 월,수,목,금,토,일 11:30 ~ 17:00",070-8119-5715
카페 지금여기,카페,3.7,22,https://place.map.kakao.com/36768345,서울 마포구 양화로16길 30-5 3층,영업시간 매일 11:00 ~ 20:00,070-8803-2112
